Reps;Time(s);DGEFA;DGESL;OVERHEAD;KFLOPS 
1024;   2.00;  83.35%;   3.15%;  13.50%;812308782
2048;   4.00;  83.37%;   3.13%;  13.50%;813471737
4096;   8.00;  83.36%;   3.13%;  13.50%;812777088
8192;  15.99;  83.37%;   3.14%;  13.49%;813096115
512;   1.00;  83.36%;   3.13%;  13.50%;813355527
1024;   2.00;  83.35%;   3.14%;  13.50%;812672582
2048;   4.01;  83.36%;   3.14%;  13.50%;811839376
4096;   8.01;  83.31%;   3.21%;  13.48%;811792629
8192;  16.08;  83.39%;   3.15%;  13.46%;808298176
256;   0.50;  83.40%;   3.13%;  13.47%;808865371
512;   1.01;  83.30%;   3.23%;  13.46%;805540535
1024;   2.02;  83.29%;   3.26%;  13.45%;804214287
2048;   4.03;  83.36%;   3.19%;  13.45%;806112182
4096;   8.04;  83.39%;   3.15%;  13.46%;808714080
8192;  16.10;  83.39%;   3.15%;  13.46%;807641088
256;   0.50;  83.38%;   3.13%;  13.49%;806212927
512;   1.00;  83.38%;   3.16%;  13.46%;809763348
1024;   2.01;  83.40%;   3.14%;  13.47%;809475760
2048;   4.01;  83.41%;   3.12%;  13.47%;810582485
4096;   8.03;  83.41%;   3.13%;  13.46%;809600885
8192;  16.06;  83.41%;   3.12%;  13.47%;809765505
256;   0.50;  83.43%;   3.12%;  13.45%;810216819
512;   1.00;  83.39%;   3.15%;  13.45%;809857546
1024;   2.01;  83.40%;   3.14%;  13.46%;809078972
2048;   4.01;  83.40%;   3.12%;  13.48%;810015447
4096;   8.05;  83.40%;   3.14%;  13.47%;807332757
8192;  16.06;  83.41%;   3.13%;  13.46%;809631880
512;   1.00;  83.37%;   3.12%;  13.51%;813539032
1024;   2.00;  83.36%;   3.13%;  13.51%;813039999
2048;   4.01;  83.35%;   3.14%;  13.51%;811464381
4096;   8.00;  83.37%;   3.13%;  13.50%;812445463
8192;  16.01;  83.37%;   3.13%;  13.50%;812509536
256;   0.50;  83.36%;   3.13%;  13.50%;812516226
512;   1.00;  83.35%;   3.14%;  13.50%;812702170
1024;   2.02;  83.35%;   3.19%;  13.47%;805855810
2048;   4.03;  83.31%;   3.25%;  13.44%;805593372
4096;   8.09;  83.34%;   3.22%;  13.44%;803367575
8192;  16.02;  83.36%;   3.15%;  13.48%;811855545
256;   0.50;  83.42%;   3.12%;  13.47%;811104703
512;   1.00;  83.41%;   3.13%;  13.46%;810458692
1024;   2.01;  83.38%;   3.16%;  13.46%;809522357
2048;   4.01;  83.41%;   3.12%;  13.47%;810138639
4096;   8.03;  83.41%;   3.12%;  13.47%;809972642
8192;  16.05;  83.42%;   3.12%;  13.46%;810013931
256;   0.50;  83.42%;   3.12%;  13.46%;810784841
512;   1.00;  83.42%;   3.12%;  13.46%;809954565
1024;   2.01;  83.42%;   3.14%;  13.45%;808889099
2048;   4.04;  83.41%;   3.14%;  13.45%;805158197
4096;   8.03;  83.41%;   3.13%;  13.47%;809932874
8192;  16.05;  83.42%;   3.12%;  13.47%;810079546
256;   0.50;  83.41%;   3.12%;  13.47%;810992442
512;   1.00;  83.41%;   3.13%;  13.46%;810383967
1024;   2.01;  83.42%;   3.12%;  13.46%;808197838
2048;   4.01;  83.41%;   3.13%;  13.46%;810268404
4096;   8.03;  83.40%;   3.13%;  13.46%;809980340
8192;  16.05;  83.41%;   3.12%;  13.47%;809853465
256;   0.50;  83.42%;   3.11%;  13.48%;806351609
512;   1.01;  83.43%;   3.12%;  13.45%;805179864
1024;   2.02;  83.39%;   3.16%;  13.46%;806150998
2048;   4.01;  83.43%;   3.12%;  13.46%;809614168
4096;   8.03;  83.41%;   3.12%;  13.46%;809999818
8192;  16.05;  83.41%;   3.12%;  13.47%;810120379
256;   0.50;  83.41%;   3.11%;  13.48%;811067279
512;   1.00;  83.41%;   3.13%;  13.46%;809850084
1024;   2.01;  83.40%;   3.15%;  13.46%;809974158
2048;   4.02;  83.40%;   3.14%;  13.46%;809244020
4096;   8.06;  83.35%;   3.20%;  13.45%;806813764
8192;  16.36;  83.03%;   3.59%;  13.38%;793989989
