
160.13 MB/s;199.60 MB/s;178.46 MB/s;179.41 MB/s;179.40 MB/s
228.16 MB/s;200.23 MB/s;179.76 MB/s;180.36 MB/s;197.13 MB/s
225.34 MB/s;201.69 MB/s;179.56 MB/s;180.30 MB/s;196.72 MB/s
228.57 MB/s;201.38 MB/s;179.40 MB/s;180.23 MB/s;197.40 MB/s
229.54 MB/s;200.12 MB/s;180.15 MB/s;178.49 MB/s;197.08 MB/s
229.49 MB/s;200.28 MB/s;180.16 MB/s;179.89 MB/s;197.46 MB/s
229.31 MB/s;198.62 MB/s;180.16 MB/s;179.89 MB/s;197.00 MB/s
226.77 MB/s;200.78 MB/s;180.15 MB/s;179.93 MB/s;196.91 MB/s
227.82 MB/s;200.64 MB/s;179.79 MB/s;179.88 MB/s;197.03 MB/s
227.84 MB/s;201.84 MB/s;179.67 MB/s;179.53 MB/s;197.22 MB/s
230.77 MB/s;200.55 MB/s;179.71 MB/s;179.67 MB/s;197.68 MB/s
226.81 MB/s;201.02 MB/s;179.69 MB/s;180.26 MB/s;196.94 MB/s
229.06 MB/s;200.34 MB/s;179.74 MB/s;180.22 MB/s;197.34 MB/s
228.20 MB/s;201.80 MB/s;179.35 MB/s;169.82 MB/s;194.79 MB/s
220.60 MB/s;200.71 MB/s;154.81 MB/s;177.97 MB/s;188.52 MB/s
225.92 MB/s;200.71 MB/s;179.32 MB/s;180.24 MB/s;196.55 MB/s
226.34 MB/s;195.69 MB/s;162.13 MB/s;179.90 MB/s;191.02 MB/s
225.53 MB/s;148.00 MB/s;177.14 MB/s;180.16 MB/s;182.71 MB/s
228.98 MB/s;200.72 MB/s;179.52 MB/s;179.56 MB/s;197.19 MB/s
228.16 MB/s;200.13 MB/s;179.45 MB/s;180.23 MB/s;197.00 MB/s
226.88 MB/s;200.54 MB/s;180.17 MB/s;180.01 MB/s;196.90 MB/s
227.31 MB/s;198.18 MB/s;180.06 MB/s;178.70 MB/s;196.06 MB/s
226.81 MB/s;195.40 MB/s;179.66 MB/s;179.87 MB/s;195.44 MB/s
229.22 MB/s;200.20 MB/s;180.16 MB/s;179.41 MB/s;197.25 MB/s
228.45 MB/s;199.27 MB/s;179.87 MB/s;179.82 MB/s;196.85 MB/s
227.26 MB/s;201.28 MB/s;179.67 MB/s;178.58 MB/s;196.70 MB/s
226.57 MB/s;200.88 MB/s;179.68 MB/s;179.87 MB/s;196.75 MB/s
228.30 MB/s;201.26 MB/s;179.46 MB/s;180.34 MB/s;197.34 MB/s
229.47 MB/s;201.53 MB/s;179.65 MB/s;180.03 MB/s;197.67 MB/s
226.44 MB/s;200.71 MB/s;179.68 MB/s;180.24 MB/s;196.77 MB/s
