 
 Reps,Time(s),DGEFA,DGESL,OVERHEAD,KFLOPS 
     128,   5.14,  88.58%,   3.40%,   8.02%, 37196.828
     256,  10.27,  88.59%,   3.39%,   8.03%, 37228.346
      16,   0.64,  88.70%,   3.41%,   7.89%, 37155.277
      32,   1.30,  88.46%,   3.51%,   8.03%, 36735.336
      64,   2.57,  88.62%,   3.39%,   7.99%, 37176.414
     128,   5.14,  88.58%,   3.40%,   8.02%, 37201.622
     256,  10.27,  88.59%,   3.38%,   8.03%, 37224.062
      16,   0.64,  88.56%,   3.42%,   8.02%, 37227.037
      32,   1.29,  88.68%,   3.36%,   7.96%, 37109.031
      64,   2.57,  88.59%,   3.40%,   8.00%, 37188.683
     128,   5.14,  88.55%,   3.39%,   8.06%, 37203.016
     256,  10.27,  88.58%,   3.39%,   8.03%, 37225.331
      16,   0.64,  88.74%,   3.40%,   7.86%, 37155.088
      32,   1.29,  88.59%,   3.43%,   7.98%, 37055.400
      64,   2.57,  88.58%,   3.39%,   8.03%, 37197.088
     128,   5.14,  88.62%,   3.36%,   8.01%, 37207.299
     256,  10.27,  88.60%,   3.40%,   8.00%, 37212.238
      16,   0.64,  88.72%,   3.42%,   7.86%, 37167.909
      32,   1.29,  88.51%,   3.43%,   8.06%, 37164.420
      64,   2.57,  88.63%,   3.40%,   7.97%, 37170.786
     128,   5.14,  88.58%,   3.39%,   8.03%, 37216.815
     256,  10.27,  88.60%,   3.39%,   8.01%, 37221.997
      16,   0.64,  88.55%,   3.32%,   8.13%, 37267.762
      32,   1.29,  88.46%,   3.43%,   8.11%, 37178.506
      64,   2.57,  88.57%,   3.39%,   8.04%, 37203.764
     128,   5.14,  88.61%,   3.39%,   8.00%, 37181.101
     256,  10.27,  88.59%,   3.39%,   8.02%, 37208.134
      16,   0.64,  88.58%,   3.39%,   8.03%, 37243.822
      32,   1.29,  88.69%,   3.39%,   7.92%, 37103.360
      64,   2.57,  88.55%,   3.38%,   8.07%, 37215.294
     128,   5.14,  88.59%,   3.38%,   8.03%, 37208.733
     256,  10.27,  88.58%,   3.39%,   8.03%, 37215.172
      16,   0.64,  88.62%,   3.40%,   7.99%, 37231.705
      32,   1.29,  88.54%,   3.38%,   8.08%, 37166.872
      64,   2.57,  88.59%,   3.39%,   8.02%, 37185.757
     128,   5.14,  88.60%,   3.40%,   8.00%, 37202.236
     256,  10.27,  88.59%,   3.38%,   8.02%, 37222.903
      16,   0.64,  88.44%,   3.37%,   8.19%, 37289.518
      32,   1.29,  88.63%,   3.40%,   7.98%, 37145.290
      64,   2.57,  88.53%,   3.40%,   8.08%, 37176.870
     128,   5.14,  88.57%,   3.38%,   8.05%, 37224.641
     256,  10.27,  88.55%,   3.40%,   8.05%, 37226.111
      16,   0.64,  88.60%,   3.41%,   8.00%, 37220.795
      32,   1.29,  88.49%,   3.39%,   8.11%, 37174.008
      64,   2.57,  88.60%,   3.38%,   8.02%, 37206.031
     128,   5.14,  88.58%,   3.40%,   8.02%, 37209.134
     256,  10.27,  88.59%,   3.40%,   8.01%, 37201.472
      16,   0.64,  88.54%,   3.39%,   8.06%, 37241.107
      32,   1.29,  88.59%,   3.37%,   8.04%, 37138.070
      64,   2.57,  88.60%,   3.41%,   7.99%, 37182.438
     128,   5.14,  88.55%,   3.40%,   8.06%, 37217.493
     256,  10.27,  88.58%,   3.39%,   8.03%, 37213.754
      16,   0.64,  88.53%,   3.34%,   8.13%, 37282.685
      32,   1.29,  88.55%,   3.42%,   8.03%, 37084.355
      64,   2.57,  88.63%,   3.36%,   8.00%, 37182.957
     128,   5.14,  88.62%,   3.40%,   7.98%, 37196.151
     256,  10.27,  88.58%,   3.40%,   8.02%, 37206.193
